lum,pscale,CE
21.6,0.627358417845286,yes
21.6,0.6360426660628943,yes
21.6,0.633227221370901,yes
21.6,0.6350048023219639,yes
21.6,0.6113025582813084,yes
21.6,0.6343103383399358,yes
21.6,0.6426560225810708,yes
21.6,0.6337060465454926,yes
21.6,0.6315196806954764,yes
21.6,0.6367018404171343,yes
21.6,0.6264840240082123,yes
21.6,0.6292570194769721,yes
21.6,0.6410898229923342,yes
21.6,0.6428700497414466,yes
21.6,0.6421354991251398,yes
21.6,0.64539783843743,yes
21.6,0.6251324697108985,yes
21.6,0.6357170762403209,yes
21.6,0.6404970847114677,yes
21.6,0.608799838490254,yes
21.6,0.6287903118547495,yes
21.6,0.6327498610003794,yes
21.6,0.6181574411252185,yes
21.6,0.6206381583412148,yes
21.6,0.6194559171350816,yes
21.6,0.6221705417879756,yes
21.6,0.6279352212734631,yes
21.6,0.6505557885090488,yes
21.6,0.6188954875358337,yes
21.6,0.6479028980941889,yes
21.6,0.6366350474899091,yes
21.6,0.6549806216697577,yes
21.6,0.6105181166054127,yes
21.6,0.621180296717737,yes
21.6,0.6029346914111566,yes
21.6,0.6235933543777394,yes
21.6,0.6158319318908672,yes
21.6,0.6259964163012236,yes
21.6,0.6235445643863934,yes
21.6,0.628863360852936,yes
21.6,0.6263911751700973,yes
21.6,0.6287139110585934,yes
21.6,0.6340231939598615,yes
21.6,0.6222825294861704,yes
21.6,0.6255739868368478,yes
21.6,0.6349628658045241,yes
21.6,0.6218785467422058,yes
21.6,0.6295266462941081,yes
21.6,0.6128700111979408,yes
21.6,0.6322656631109946,yes
21.6,0.6303237659864075,yes
21.6,0.6358127791428234,yes
21.6,0.6153576202949255,yes
21.6,0.6349545141391291,yes
21.6,0.6355992933442912,yes
21.6,0.6222286528622182,yes
21.6,0.6114762663990915,yes
21.6,0.6047621128488201,yes
21.6,0.6210890809304156,yes
21.6,0.6454950237865404,yes
21.6,0.6072883133830149,yes
21.6,0.6224132634654107,yes
21.6,0.6208029038358247,yes
21.6,0.610287272095454,yes
21.6,0.6395110169480827,yes
21.6,0.6252605466422317,yes
21.6,0.6383974990682323,yes
21.6,0.6247589292190192,yes
21.6,0.6181583795124371,yes
21.6,0.6147142293116717,yes
21.6,0.626895531739934,yes
21.6,0.6146845480806159,yes
21.6,0.6243353063721852,yes
21.6,0.6208402613389117,yes
21.6,0.6156455254616501,yes
21.6,0.6213433217276287,yes
21.6,0.6190015838892801,yes
21.6,0.6257160247025897,yes
21.6,0.6373773966200438,yes
21.6,0.6135269214745885,yes
21.6,0.6388748464563758,yes
21.6,0.6229378258637266,yes
21.6,0.6234511140611477,yes
21.6,0.6158992252878792,yes
21.6,0.62484170022691,yes
21.6,0.6151319137979216,yes
21.6,0.6245532533028703,yes
21.6,0.636812634078346,yes
21.6,0.6270163390100194,yes
21.6,0.6269456413363116,yes
21.6,0.6437031408765065,yes
21.6,0.6274040750170822,yes
21.6,0.6291549149507007,yes
21.6,0.6387211107908277,yes
21.6,0.6466969637568777,yes
21.6,0.6424639122597666,yes
21.6,0.6250779887439002,yes
21.6,0.6253652882053182,yes
21.6,0.6158055565417071,yes
28.8,0.7997502872806067,yes
28.8,0.7768763494838954,yes
28.8,0.8032915388282167,yes
28.8,0.7804774766324563,yes
28.8,0.776231874721644,yes
28.8,0.7742665563002188,yes
28.8,0.7872756383217364,yes
28.8,0.8022661560288392,yes
28.8,0.7756920057340755,yes
28.8,0.7834998506152422,yes
28.8,0.7755665284156169,yes
28.8,0.7943343141367701,yes
28.8,0.781168539245443,yes
28.8,0.7796137443197629,yes
28.8,0.8002770860801637,yes
28.8,0.7857330212755561,yes
28.8,0.7822940185263374,yes
28.8,0.7928706852759411,yes
28.8,0.77210410417126,yes
28.8,0.7819660160560171,yes
28.8,0.7686756653425938,yes
28.8,0.7896539117533612,yes
28.8,0.7879926040088965,yes
28.8,0.7710376856996737,yes
