tar_lum,mat_lum,obs,background
120,117.5,sub2,homogeneous
312,349.9333333333333,sub2,homogeneous
281,384.2,sub2,homogeneous
40,25.16,sub2,homogeneous
40,26.03,sub2,homogeneous
155,159.1,sub2,homogeneous
25,10.446666666666669,sub2,homogeneous
40,29.663333333333338,sub2,homogeneous
89,88.75333333333333,sub2,homogeneous
60,51.81,sub2,homogeneous
242,311.0,sub2,homogeneous
60,40.87333333333333,sub2,homogeneous
312,349.9333333333333,sub2,homogeneous
89,73.33333333333331,sub2,homogeneous
89,70.22000000000001,sub2,homogeneous
120,113.46666666666664,sub2,homogeneous
242,337.9333333333333,sub2,homogeneous
155,156.8666666666667,sub2,homogeneous
120,109.46666666666664,sub2,homogeneous
199,325.79999999999995,sub2,homogeneous
312,384.2,sub2,homogeneous
242,318.8666666666667,sub2,homogeneous
89,72.01000000000002,sub2,homogeneous
199,266.7333333333333,sub2,homogeneous
40,27.80333333333333,sub2,homogeneous
242,291.8666666666667,sub2,homogeneous
89,65.72333333333334,sub2,homogeneous
242,299.3666666666666,sub2,homogeneous
312,384.2,sub2,homogeneous
155,137.3666666666667,sub2,homogeneous
25,12.003333333333334,sub2,homogeneous
199,329.8,sub2,homogeneous
281,346.6666666666667,sub2,homogeneous
25,13.133333333333335,sub2,homogeneous
155,156.8666666666667,sub2,homogeneous
312,433.33333333333326,sub2,homogeneous
89,74.93333333333332,sub2,homogeneous
242,311.0,sub2,homogeneous
281,370.76666666666677,sub2,homogeneous
281,362.3,sub2,homogeneous
281,358.2666666666666,sub2,homogeneous
89,81.53999999999999,sub2,homogeneous
120,111.36666666666669,sub2,homogeneous
40,22.693333333333328,sub2,homogeneous
312,362.3,sub2,homogeneous
25,16.219999999999995,sub2,homogeneous
199,256.9333333333333,sub2,homogeneous
281,337.9333333333333,sub2,homogeneous
120,113.46666666666664,sub2,homogeneous
60,51.81,sub2,homogeneous
281,396.73333333333323,sub2,homogeneous
242,392.3,sub2,homogeneous
60,53.00333333333334,sub2,homogeneous
199,291.8666666666667,sub2,homogeneous
40,31.46666666666667,sub3,variegated
89,99.46333333333332,sub3,variegated
25,22.693333333333328,sub3,variegated
199,194.13333333333327,sub3,variegated
40,34.470000000000006,sub3,variegated
155,159.1,sub3,variegated
89,103.40000000000002,sub3,variegated
120,144.6,sub3,variegated
155,172.1333333333333,sub3,variegated
89,113.46666666666664,sub3,variegated
199,185.8,sub3,variegated
312,346.6666666666667,sub3,variegated
242,273.9333333333333,sub3,variegated
281,259.8333333333333,sub3,variegated
199,208.80000000000004,sub3,variegated
60,78.25999999999999,sub3,variegated
155,156.8666666666667,sub3,variegated
281,295.83333333333326,sub3,variegated
242,256.9333333333333,sub3,variegated
120,135.3,sub3,variegated
312,349.9333333333333,sub3,variegated
89,107.36666666666669,sub3,variegated
242,236.6333333333333,sub3,variegated
242,246.5666666666667,sub3,variegated
25,22.693333333333328,sub3,variegated
242,256.9333333333333,sub3,variegated
312,322.2,sub3,variegated
60,65.72333333333334,sub3,variegated
199,191.3333333333333,sub3,variegated
312,318.8666666666667,sub3,variegated
25,23.50333333333333,sub3,variegated
281,311.0,sub3,variegated
40,36.58,sub3,variegated
120,144.6,sub3,variegated
312,329.8,sub3,variegated
155,149.2333333333333,sub3,variegated
120,146.9333333333333,sub3,variegated
281,273.9333333333333,sub3,variegated
25,22.693333333333328,sub3,variegated
199,174.8666666666667,sub3,variegated
199,236.6333333333333,sub3,variegated
120,126.3333333333333,sub3,variegated
155,172.1333333333333,sub3,variegated
89,83.22666666666667,sub3,variegated
120,130.46666666666664,sub3,variegated
242,256.9333333333333,sub3,variegated
25,26.94,sub3,variegated
60,57.06333333333332,sub3,variegated
60,53.00333333333334,sub3,variegated
25,22.693333333333328,sub3,variegated
120,130.46666666666664,sub3,variegated
281,299.3666666666666,sub3,variegated
25,27.80333333333333,sub3,variegated
25,27.80333333333333,sub3,variegated
312,325.79999999999995,sub3,variegated
312,325.79999999999995,sub3,variegated
312,342.40000000000003,sub3,variegated
155,154.2333333333333,sub3,variegated
60,57.06333333333332,sub3,variegated
242,240.3333333333333,sub3,variegated
312,337.9333333333333,sub3,variegated
199,217.80000000000004,sub3,variegated
120,142.1,sub3,variegated
89,95.81666666666663,sub3,variegated
312,333.8666666666666,sub3,variegated
89,83.22666666666667,sub3,variegated
60,61.28666666666666,sub3,variegated
120,115.7333333333333,sub3,variegated
25,18.943333333333328,sub3,variegated
199,202.9,sub3,variegated
40,37.603333333333325,sub3,variegated
40,36.58,sub3,variegated
40,31.46666666666667,sub3,variegated
60,67.19333333333333,sub3,variegated
155,174.8666666666667,sub3,variegated
40,39.84,sub3,variegated
199,172.1333333333333,sub3,variegated
281,281.1666666666667,sub3,variegated
40,34.470000000000006,sub3,variegated
