tar_lum,mat_lum,obs,background
176,243.6,sub2,variegated
144,194.13333333333327,sub2,variegated
188,266.7333333333333,sub2,variegated
188,266.7333333333333,sub2,variegated
159,249.7,sub2,variegated
159,224.3333333333333,sub2,variegated
79,20.436666666666667,sub2,variegated
176,233.5333333333333,sub2,variegated
125,146.9333333333333,sub2,variegated
87,27.80333333333333,sub2,variegated
144,227.13333333333327,sub2,variegated
144,217.80000000000004,sub2,variegated
176,249.7,sub2,variegated
79,20.436666666666667,sub2,variegated
159,243.6,sub2,variegated
159,191.3333333333333,sub2,variegated
125,111.36666666666669,sub2,variegated
159,240.3333333333333,sub2,variegated
73,16.86,sub2,variegated
176,240.3333333333333,sub2,variegated
159,227.13333333333327,sub2,variegated
99,65.72333333333334,sub2,variegated
99,93.88333333333333,sub2,variegated
111,154.2333333333333,sub2,variegated
188,266.7333333333333,sub2,variegated
99,93.88333333333333,sub2,variegated
111,107.36666666666669,sub2,variegated
111,61.28666666666666,sub2,variegated
73,18.25333333333333,sub2,variegated
176,284.5333333333333,sub2,variegated
79,26.03,sub2,variegated
79,26.03,sub2,variegated
188,318.8666666666667,sub2,variegated
176,270.2,sub2,variegated
99,35.54333333333332,sub2,variegated
87,37.603333333333325,sub2,variegated
87,27.80333333333333,sub2,variegated
87,34.470000000000006,sub2,variegated
144,161.7,sub2,variegated
188,266.7333333333333,sub2,variegated
125,144.6,sub2,variegated
79,18.25333333333333,sub2,variegated
73,13.74,sub2,variegated
99,37.603333333333325,sub2,variegated
159,253.2666666666667,sub2,variegated
144,205.80000000000004,sub2,variegated
159,220.8666666666667,sub2,variegated
111,51.81,sub2,variegated
73,72.01000000000002,sub2,homogeneous
125,139.7666666666667,sub2,homogeneous
188,249.7,sub2,homogeneous
87,90.32666666666665,sub2,homogeneous
79,67.19333333333333,sub2,homogeneous
99,103.40000000000002,sub2,homogeneous
111,115.7333333333333,sub2,homogeneous
87,88.75333333333333,sub2,homogeneous
144,185.8,sub2,homogeneous
111,120.06666666666665,sub2,homogeneous
159,220.8666666666667,sub2,homogeneous
99,105.66666666666669,sub2,homogeneous
73,61.28666666666666,sub2,homogeneous
99,105.66666666666669,sub2,homogeneous
144,214.76666666666662,sub2,homogeneous
144,188.5,sub2,homogeneous
144,217.80000000000004,sub2,homogeneous
73,72.01000000000002,sub2,homogeneous
125,142.1,sub2,homogeneous
188,211.7,sub2,homogeneous
188,240.3333333333333,sub2,homogeneous
99,107.36666666666669,sub2,homogeneous
73,61.28666666666666,sub2,homogeneous
111,120.06666666666665,sub2,homogeneous
79,72.01000000000002,sub2,homogeneous
176,224.3333333333333,sub2,homogeneous
125,135.3,sub2,homogeneous
125,144.6,sub2,homogeneous
125,135.3,sub2,homogeneous
73,61.28666666666666,sub2,homogeneous
99,107.36666666666669,sub2,homogeneous
176,253.2666666666667,sub2,homogeneous
73,74.93333333333332,sub2,homogeneous
176,231.1333333333333,sub2,homogeneous
159,233.5333333333333,sub2,homogeneous
144,202.9,sub2,homogeneous
111,109.46666666666664,sub2,homogeneous
176,240.3333333333333,sub2,homogeneous
79,74.93333333333332,sub2,homogeneous
188,231.1333333333333,sub2,homogeneous
111,126.3333333333333,sub2,homogeneous
87,88.75333333333333,sub2,homogeneous
125,130.46666666666664,sub2,homogeneous
79,72.01000000000002,sub2,homogeneous
87,79.87,sub2,homogeneous
111,121.8666666666667,sub2,homogeneous
87,78.25999999999999,sub2,homogeneous
73,60.02666666666665,sub2,homogeneous
87,78.25999999999999,sub2,homogeneous
125,120.06666666666665,sub2,homogeneous
188,253.2666666666667,sub2,homogeneous
79,78.25999999999999,sub2,homogeneous
176,231.1333333333333,sub2,homogeneous
144,202.9,sub2,homogeneous
188,240.3333333333333,sub2,homogeneous
188,277.6333333333334,sub2,homogeneous
159,233.5333333333333,sub2,homogeneous
159,240.3333333333333,sub2,homogeneous
79,73.33333333333331,sub2,homogeneous
