trial	context	image.fname	r	start_idx	match_lum
279	dark	stimuli/sub7/matching/279_dark_1.05	1.050000	0.654212	0.294212
280	dark	stimuli/sub7/matching/280_dark_0.11	0.110000	0.870113	0.034113
281	dark	stimuli/sub7/matching/281_dark_0.31	0.310000	0.373365	0.109365
282	plain	stimuli/sub7/matching/282_plain_1.50	1.500000	0.674506	0.574506
283	dark	stimuli/sub7/matching/283_dark_0.46	0.460000	0.490688	0.114688
284	light	stimuli/sub7/matching/284_light_0.19	0.190000	0.445134	0.059134
285	plain	stimuli/sub7/matching/285_plain_1.50	1.500000	0.933810	0.493810
286	dark	stimuli/sub7/matching/286_dark_0.63	0.630000	0.568366	0.168366
287	dark	stimuli/sub7/matching/287_dark_1.50	1.500000	0.709504	0.409504
288	light	stimuli/sub7/matching/288_light_1.29	1.290000	0.844803	0.348803
289	dark	stimuli/sub7/matching/289_dark_1.05	1.050000	0.663792	0.263792
290	light	stimuli/sub7/matching/290_light_0.82	0.820000	0.107015	0.225015
291	dark	stimuli/sub7/matching/291_dark_0.19	0.190000	0.861858	0.061858
292	plain	stimuli/sub7/matching/292_plain_1.05	1.050000	0.583587	0.403587
293	dark	stimuli/sub7/matching/293_dark_1.67	1.670000	0.650176	0.376176
294	dark	stimuli/sub7/matching/294_dark_1.67	1.670000	0.033720	0.373720
295	plain	stimuli/sub7/matching/295_plain_0.82	0.820000	0.379141	0.379141
296	light	stimuli/sub7/matching/296_light_0.31	0.310000	0.785399	0.107399
297	dark	stimuli/sub7/matching/297_dark_1.05	1.050000	0.466170	0.286170
298	dark	stimuli/sub7/matching/298_dark_0.63	0.630000	0.217302	0.171302
299	light	stimuli/sub7/matching/299_light_1.50	1.500000	0.829811	0.389811
