trial	context	image.fname	r	start_idx	match_lum
268	dark	stimuliSR/sub5/matching/268_dark_1.29	1.290000	0.355643	0.269643
269	plain	stimuliSR/sub5/matching/269_plain_1.05	1.050000	0.027249	0.469249
270	light	stimuliSR/sub5/matching/270_light_1.50	1.500000	0.614894	0.392894
271	light	stimuliSR/sub5/matching/271_light_0.11	0.110000	0.652377	0.126377
272	dark	stimuliSR/sub5/matching/272_dark_1.67	1.670000	0.019587	0.305587
273	light	stimuliSR/sub5/matching/273_light_0.82	0.820000	0.553640	0.239640
274	dark	stimuliSR/sub5/matching/274_dark_1.67	1.670000	0.667081	0.387081
275	light	stimuliSR/sub5/matching/275_light_0.31	0.310000	0.732030	0.172030
276	plain	stimuliSR/sub5/matching/276_plain_0.46	0.460000	0.379849	0.139849
277	light	stimuliSR/sub5/matching/277_light_1.67	1.670000	0.286992	0.486992
278	dark	stimuliSR/sub5/matching/278_dark_1.29	1.290000	0.988714	0.288714
279	light	stimuliSR/sub5/matching/279_light_0.19	0.190000	0.424073	0.124073
280	dark	stimuliSR/sub5/matching/280_dark_0.82	0.820000	0.726655	0.124655
281	plain	stimuliSR/sub5/matching/281_plain_1.67	1.670000	0.181335	0.681335
282	dark	stimuliSR/sub5/matching/282_dark_0.31	0.310000	0.103711	0.057711
283	light	stimuliSR/sub5/matching/283_light_0.46	0.460000	0.517506	0.183506
284	plain	stimuliSR/sub5/matching/284_plain_0.46	0.460000	0.271594	0.145594
285	light	stimuliSR/sub5/matching/285_light_1.50	1.500000	0.709617	0.355617
286	light	stimuliSR/sub5/matching/286_light_0.11	0.110000	0.871909	0.137909
287	plain	stimuliSR/sub5/matching/287_plain_1.50	1.500000	0.702731	0.656731
288	plain	stimuliSR/sub5/matching/288_plain_0.82	0.820000	0.549173	0.307173
289	plain	stimuliSR/sub5/matching/289_plain_0.19	0.190000	0.098409	0.050000
290	plain	stimuliSR/sub5/matching/290_plain_0.63	0.630000	0.460357	0.182357
291	dark	stimuliSR/sub5/matching/291_dark_1.05	1.050000	0.349429	0.207429
292	plain	stimuliSR/sub5/matching/292_plain_1.29	1.290000	0.268715	0.606715
293	light	stimuliSR/sub5/matching/293_light_0.19	0.190000	0.692687	0.136687
294	light	stimuliSR/sub5/matching/294_light_0.82	0.820000	0.635049	0.237049
295	plain	stimuliSR/sub5/matching/295_plain_1.67	1.670000	0.530524	0.650524
296	dark	stimuliSR/sub5/matching/296_dark_1.29	1.290000	0.781511	0.265511
297	dark	stimuliSR/sub5/matching/297_dark_0.46	0.460000	0.526543	0.088543
298	light	stimuliSR/sub5/matching/298_light_0.11	0.110000	0.508616	0.148616
299	light	stimuliSR/sub5/matching/299_light_0.63	0.630000	0.774620	0.234620
